2026-06-15,423.93
2026-06-12,423.93
2026-06-11,421.07
2026-06-10,408.75
2026-06-09,427.92
2026-06-08,426.8
2026-06-05,415.17
2026-06-04,444.92
2026-06-03,436.69
2026-06-02,446.69
2026-06-01,435.63
2026-05-29,418.45
2026-05-28,424.86
2026-05-27,422.73
2026-05-26,412.32
2026-05-22,404.52
2026-05-21,407.15
2026-05-20,401.62
2026-05-19,392.61
2026-05-18,395.95
2026-05-15,404.35
2026-05-14,417.72
2026-05-13,399.8
2026-05-12,397.28
2026-05-11,404.54
2026-05-08,411.68
2026-05-07,414.15
2026-05-06,419.5
2026-05-05,394.41
2026-05-04,401.61
2026-05-01,397.67
2026-04-30,396.06
2026-04-29,393.83
2026-04-28,392.34
2026-04-27,404.98
2026-04-24,402.46
2026-04-23,382.66
2026-04-22,387.44
2026-04-21,368.08
2026-04-20,366.24
2026-04-17,370.5
2026-04-16,363.35
2026-04-15,375.1
2026-04-14,379.89
2026-04-13,369.57
2026-04-10,370.6
2026-04-09,365.49
2026-04-08,365.9
2026-04-07,345.32
2026-04-06,341.76
2026-04-02,339.04
2026-04-01,341.49
2026-03-31,337.95
2026-03-30,316.5
2026-03-27,326.74
2026-03-26,326.11
2026-03-25,347.75
2026-03-24,343.25
2026-03-23,338.45
2026-03-20,329.24
2026-03-19,338.79
2026-03-18,339.57
2026-03-17,345.98
2026-03-16,340.23
2026-03-13,338.31
2026-03-12,336.71
2026-03-11,354.56
2026-03-10,347.09
2026-03-09,348.7
2026-03-06,338.89
2026-03-05,353.86
2026-03-04,357.44
2026-03-03,353.13
2026-03-02,369.11
2026-02-27,374.58
2026-02-26,376.81
2026-02-25,387.73
2026-02-24,385.75
2026-02-23,370.04
2026-02-20,370.54
2026-02-19,360.39
2026-02-18,362.26
2026-02-17,364.2
2026-02-13,366.36
2026-02-12,368.1
2026-02-11,374.21
2026-02-10,361.91
2026-02-09,355.41
2026-02-06,348.85
2026-02-05,330.73
2026-02-04,325.74
2026-02-03,335.75
2026-02-02,341.36
2026-01-30,330.56
2026-01-29,339.55
2026-01-28,342.3
2026-01-27,338.34
2026-01-26,332.71
2026-01-23,334.87
2026-01-22,327.37
2026-01-21,326.12
2026-01-20,327.16
2026-01-16,342.4
2026-01-15,341.64
2026-01-14,327.11
2026-01-13,331.21
2026-01-12,331.77
2026-01-09,323.63
2026-01-08,318.01
2026-01-07,318.68
2026-01-06,327.43
2026-01-05,322.25
2026-01-02,319.61
2025-12-31,303.89
2025-12-30,299.77
2025-12-29,300.92
2025-12-26,302.84
2025-12-24,298.8
2025-12-23,296.95
2025-12-22,293.28
2025-12-19,288.95
2025-12-18,284.68
2025-12-17,276.96
2025-12-16,286.87
2025-12-15,287.74
2025-12-12,292.04
2025-12-11,304.85
2025-12-10,310.14
2025-12-09,303.41
2025-12-08,301.87
2025-12-05,294.72
2025-12-04,292.93
2025-12-03,295.45
2025-12-02,292.09
2025-12-01,287.68
2025-11-28,291.51
2025-11-26,289.96
2025-11-25,284.68
2025-11-24,284.64
2025-11-21,275.06
2025-11-20,277.5
2025-11-19,282.37
2025-11-18,277.91
2025-11-17,282.01
2025-11-14,284.82
2025-11-13,282.2
2025-11-12,290.62
2025-11-11,291.17
2025-11-10,295.27
2025-11-07,286.5
2025-11-06,289.24
2025-11-05,293.64
2025-11-04,294.05
2025-11-03,304.86
2025-10-31,300.43
2025-10-30,303.22
2025-10-29,305.09
2025-10-28,301.53
2025-10-27,298.25
2025-10-24,294.96
2025-10-23,290.73
2025-10-22,288.88
2025-10-21,294.51
2025-10-20,297.7
2025-10-17,295.08
2025-10-16,299.84
2025-10-15,304.71
2025-10-14,295.94
2025-10-13,302.89
2025-10-10,280.66
2025-10-09,299.88
2025-10-08,304.52
2025-10-07,294.03
2025-10-06,302.4
2025-10-03,292.19
2025-10-02,288.11
2025-10-01,288.47
2025-09-30,279.29
2025-09-29,273.23
2025-09-26,273.36
2025-09-25,276.66
2025-09-24,280.71
2025-09-23,282.71
2025-09-22,272.63
2025-09-19,264.87
2025-09-18,268.64
2025-09-17,262.79
2025-09-16,262.06
2025-09-15,261.38
2025-09-12,259.33
2025-09-11,258.91
2025-09-10,260.44
2025-09-09,250.92
2025-09-08,247.19
2025-09-05,243.41
2025-09-04,235.21
2025-09-03,231.39
2025-09-02,228.39
2025-08-29,230.87
2025-08-28,238.27
2025-08-27,239.29
2025-08-26,238.72
2025-08-25,235.59
2025-08-22,232.99
2025-08-21,227.33
2025-08-20,228.6
2025-08-19,232.7
2025-08-18,241.41
2025-08-15,238.88
2025-08-14,241
2025-08-13,241.44
2025-08-12,244.29
2025-08-11,242.09
2025-08-08,241.83
2025-08-07,242.62
2025-08-06,231.37
2025-08-05,232.47
2025-08-04,239
2025-08-01,235.21
2025-07-31,241.62
2025-07-30,242.91
2025-07-29,241.33
2025-07-28,242.75
2025-07-25,245.6
2025-07-24,241.6
2025-07-23,240.33
2025-07-22,234.6
2025-07-21,238.85
2025-07-18,240.4
2025-07-17,245.6
2025-07-16,237.56
2025-07-15,236.95
2025-07-14,228.67
2025-07-11,230.4
2025-07-10,229.76
2025-07-09,231.84
2025-07-08,227.86
2025-07-07,229.17
2025-07-03,234.8
2025-07-02,233.6
2025-07-01,224.68
2025-06-30,226.49
2025-06-27,228.57
2025-06-26,224.01
2025-06-25,222.74
2025-06-24,220.09
2025-06-23,210.32
2025-06-20,209.51
2025-06-18,213.5
2025-06-17,213.9
2025-06-16,215.68
2025-06-13,211.1
2025-06-12,215.43
2025-06-11,214.1
2025-06-10,212.46
2025-06-09,207
2025-06-06,205.18
2025-06-05,203.34
2025-06-04,202.4
2025-06-03,197.61
2025-06-02,194.84
2025-05-30,193.32
2025-05-29,197.15
2025-05-28,196.14
2025-05-27,197.68
2025-05-23,191.98
2025-05-22,196.19
2025-05-21,191.76
2025-05-20,193.45
2025-05-19,193.5
2025-05-16,194.22
2025-05-15,194.22
2025-05-14,194.76
2025-05-13,193.99
2025-05-12,186.98
2025-05-09,176.52
2025-05-08,175.22
2025-05-07,174.54
2025-05-06,172.28
2025-05-05,176.4
2025-05-02,179.28
2025-05-01,172.72
2025-04-30,166.69
2025-04-29,164.48
2025-04-28,163.4
2025-04-25,165.1
2025-04-24,164.18
2025-04-23,157.74
2025-04-22,151.4
2025-04-21,147.86
2025-04-17,151.74
2025-04-16,151.67
2025-04-15,157.33
2025-04-14,155.84
2025-04-11,157.08
2025-04-10,151.13
2025-04-09,158.75
2025-04-08,141.37
2025-04-07,146.17
2025-04-04,146.8
2025-04-03,157.38
2025-04-02,170.39
2025-04-01,168.64
2025-03-31,166
2025-03-28,165.25
2025-03-27,168.24
2025-03-26,173.5
2025-03-25,180.9
2025-03-24,181.16
2025-03-21,176.73
2025-03-20,177.47
2025-03-19,173.76
2025-03-18,173.13
2025-03-17,176.24
2025-03-14,174.09
2025-03-13,171.59
2025-03-12,177.17
2025-03-11,170.97
2025-03-10,170.65
2025-03-07,177.1
2025-03-06,175.85
2025-03-05,184.28
2025-03-04,180
2025-03-03,172.97
2025-02-28,180.53
2025-02-27,181.09
2025-02-26,194.62
2025-02-25,189.37
2025-02-24,191.65
2025-02-21,198.24
2025-02-20,200.1
2025-02-19,200.95
2025-02-18,202.74
2025-02-14,203.9
2025-02-13,201.83
2025-02-12,206.38
2025-02-11,208.74
2025-02-10,207.95
2025-02-07,206.12
2025-02-06,210.5
2025-02-05,208.57
2025-02-04,204.05
2025-02-03,199.8
2025-01-31,209.32
2025-01-30,208.15
2025-01-29,202.33
2025-01-28,202.4
2025-01-27,192.31
2025-01-24,221.88
2025-01-23,224.62
2025-01-22,223.2
2025-01-21,218.7
2025-01-17,211.5
2025-01-16,214.79
2025-01-15,206.8
2025-01-14,201.45
2025-01-13,201.36
2025-01-10,208.37
2025-01-08,207.12
2025-01-07,211.42
2025-01-06,220.01
2025-01-03,208.61
2025-01-02,201.58
2024-12-31,197.49
2024-12-30,200.39
2024-12-27,201.63
2024-12-26,203.06
2024-12-24,206.33
2024-12-23,207.36
2024-12-20,197.21
2024-12-19,194.64
2024-12-18,195.56
2024-12-17,200.66
2024-12-16,202.22
2024-12-13,200.99
2024-12-12,191.46
2024-12-11,194.6
2024-12-10,191.94
2024-12-09,199.17
2024-12-06,203.02
2024-12-05,204.3
2024-12-04,200.69
2024-12-03,198.89
2024-12-02,194.4
2024-11-29,184.66
2024-11-27,181.19
2024-11-26,183.84
2024-11-25,185.08
2024-11-22,190.08
2024-11-21,191.24
2024-11-20,188.36
2024-11-19,189.67
2024-11-18,187.48
2024-11-15,186.01
2024-11-14,188.5
2024-11-13,186.66
2024-11-12,191.77
2024-11-11,194.05
2024-11-08,201.2
2024-11-07,201.19
2024-11-06,193.22
2024-11-05,195.76
2024-11-04,191.56
2024-11-01,192.95
2024-10-31,190.54
2024-10-30,194.48
2024-10-29,196.94
2024-10-28,194.68
2024-10-25,203.44
2024-10-24,197.93
2024-10-23,200.86
2024-10-22,198.48
2024-10-21,201.95
2024-10-18,200.78
2024-10-17,205.84
